"","local","X1","X2","X3","X4","X5","X6","X7","τPSII","τPQ","ETR","NPQ","FvFm","P","S","SymLipids","SymProtein","SymCarbs","Volume","Photo","Chla","PRratio","Density","PROT","CARB","PhotoChla"
"53","C15c.5","T","Nikko","Porites-cylindrica","C15c","10","5","NPC5-5",22485,1639,300049.354,0.76673428,0.451,0.04,183,0.000204538862580374,0.00159759335155558,0.000754534004520771,410.9782734,1.17700183043275e-09,3.22177080779732,2.904688101,0.945502470841791,842.711249794818,0.775063991651289,0.0365327610388727
"54","C15c.6","T","Nikko","Porites-cylindrica","C15c","10","6","NPC6-5",20255,881,278214.573,0.780765253,0.498,0.04,190,0.00033020800000522,0.00110806857429536,0.000629048424876574,448.1085617,2.3153528039672e-09,3.44198950185082,3.111895544,0.675581182369675,509.220833242805,1.15545955861236,0.0672678636213793
"55","C15c.7","T","Nikko","Porites-cylindrica","C15c","10","7","NPC7-5",20494,1143,319303.858,0.361668003,0.485,0.06,167,0.000154513007998691,0.000547049894201085,0.000361700287882684,534.4175838,1.37956275375033e-09,0.602509574552472,2.498303546,1.40600718858662,922.878806717504,1.64203510476632,0.228969432523131
"56","C15c.8","T","Nikko","Porites-cylindrica","C15c","10","8","NPC8-5",22434,1298,174764.98,0.763917526,0.462,0.05,178,0.00030678436871399,0.000984556198748677,0.000413042363198418,384.0061123,1.87114937076524e-09,1.15078320031271,2.679475682,1.01254919021977,535.711698048518,1.30282126672872,0.162597904649354
"57","C15e.1","T","Offshore","Porites-cylindrica","C15e","10","1","OPC1-5",17872,1192,278669.916,0.596059113,0.475,0.05,225,0.000891365290938239,0.00202610725797301,0.0018671404312333,441.4365131,1.64090073271357e-09,2.16853768890565,1.798097727,0.634578403564808,3570.73048519474,6.00782892403227,0.0756685365031238
"58","C15d.2","T","Offshore","Porites-cylindrica","C15d","10","2","OPC2-5",23893,931,334785.52,0.651256281,0.496,0.06,179,0.000647813763190858,0.00131687571820075,0.00178931944941628,457.8216918,4.07087930304024e-09,3.27962512913271,1.751604397,0.933179571719898,694.499111127573,0.868710838918369,0.124126360262302
"59","C15e.3","T","Offshore","Porites-cylindrica","C15e","10","3","OPC3-5",19030,1181,246665.808,0.720461095,0.53,0.05,204,0.000789830175425054,0.00256327840152884,0.00182383305103119,508.7413271,2.10930900395339e-09,3.74191825025117,2.27840255,0.748853123873917,3535.73846132088,4.98737902032385,0.0563697243736366
"60","C15d.4","T","Offshore","Porites-cylindrica","C15d","10","4","OPC4-5",22642,851,338623.411,0.383452665,0.489,0.05,191,0.000744224699833711,0.00127982113962452,0.00131932697866833,454.1371155,1.37242095395117e-09,2.80303019705872,3.676947289,0.947355214789701,620.539230657813,1.50222493761217,0.0489620466947262
"61","C15d.5","T","Offshore","Porites-cylindrica","C15d","10","5","OPC5-5",21797,1031,233395.812,1.014354067,0.496,0.07,166,0.00117975414076193,0.000993072608002811,0.00141331351170714,470.4276319,1.66954937861025e-09,1.61449354187476,3.682865781,1.00823723198076,882.828888883053,0.907131147305399,0.10341009953323
"62","C15e.6","T","Offshore","Porites-cylindrica","C15e","10","6","OPC6-5",19476,1316,221697.8335,0.75203252,0.538,0.05,209,0.000929941669471156,0.00165697268782395,0.00141147873361056,541.3211476,1.04329719306411e-09,2.08484206050705,4.729810801,0.987803624513826,4893.35615978078,4.28959606600943,0.050042025380588
"63","C15d.7","T","Offshore","Porites-cylindrica","C15d","10","7","OPC7-5",24981,1011,295972.95,1.018310107,0.438,0.06,170,0.000381259129386545,0.00144000612645472,0.00123164656903276,576.9326288,1.71174200342493e-09,1.09251372898077,3.143905092,NA,NA,NA,0.156679221324007
"64","C15d.8","T","Offshore","Porites-cylindrica","C15d","10","8","OPC8-5",25643,1225,273205.8,0.792194093,0.492,0.05,191,0.00075900705815774,0.00118530545440753,0.0016024665943279,537.1392764,1.58787743857121e-09,1.63657657156229,3.30004331,0.955653431295432,915.052408282782,1.16643091460786,0.097024329088092
